time,high,low,open,volumefrom,volumeto,close,conversionType,conversionSymbol,currency_pair
1528502400,7691.74,7495.72,7627.56,28511.04,218013881.09,7513.69,direct,,BTC/USD
1528588800,7514.04,6661.98,7513.76,127797.43,895514425.38,6773.72,direct,,BTC/USD
1528675200,6913.85,6652.89,6773.72,71169.64,482788065.15,6887.37,direct,,BTC/USD
1528761600,6888.33,6462.61,6887.43,75997.29,509372466.34,6556.94,direct,,BTC/USD
1528848000,6623.0,6140.63,6556.94,124304.17,797087281.14,6310.43,direct,,BTC/USD
1528934400,6719.44,6286.23,6310.43,95038.67,620296377.11,6643.26,direct,,BTC/USD
1529020800,6667.23,6380.69,6643.63,57731.42,379228601.07,6396.71,direct,,BTC/USD
1529107200,6569.15,6345.99,6396.71,35851.38,232802782.59,6503.1,direct,,BTC/USD
1529193600,6585.77,6446.38,6503.1,34359.95,224575526.46,6457.78,direct,,BTC/USD
1529280000,6802.03,6401.41,6457.78,65285.57,430241689.13,6714.82,direct,,BTC/USD
1529366400,6839.6,6672.2,6714.56,54949.84,370797057.99,6741.28,direct,,BTC/USD
1529452800,6817.9,6569.96,6741.28,59674.47,400530201.24,6761.27,direct,,BTC/USD
1529539200,6790.08,6687.66,6761.27,43765.89,295690715.67,6720.64,direct,,BTC/USD
1529625600,6731.51,5941.32,6720.64,137346.53,862826624.25,6051.47,direct,,BTC/USD
1529712000,6257.88,6033.2,6051.47,57011.61,350697378.49,6166.54,direct,,BTC/USD
1529798400,6254.02,5782.13,6166.36,110833.06,667479078.32,6157.78,direct,,BTC/USD
1529884800,6344.45,6095.25,6157.78,79086.4,492834172.99,6260.35,direct,,BTC/USD
1529971200,6286.36,6067.49,6260.4,62925.3,391396653.43,6088.39,direct,,BTC/USD
1530057600,6192.11,6021.69,6092.26,62639.82,383457137.86,6141.57,direct,,BTC/USD
1530144000,6172.23,5844.26,6141.57,63585.51,385907044.98,5871.28,direct,,BTC/USD
1530230400,6286.67,5813.02,5870.81,92884.98,554799001.51,6203.8,direct,,BTC/USD
1530316800,6503.33,6194.51,6203.81,65571.19,419284677.69,6385.38,direct,,BTC/USD
1530403200,6429.5,6262.72,6385.43,40809.54,259708490.63,6339.04,direct,,BTC/USD
1530489600,6673.71,5537.86,6342.69,73069.19,465915661.24,6615.66,direct,,BTC/USD
1530576000,6670.3,6473.48,6616.6,54662.02,356390898.98,6509.58,direct,,BTC/USD
1530662400,6777.97,6411.13,6508.43,62355.75,412202352.61,6590.06,direct,,BTC/USD
1530748800,6691.32,6448.23,6589.77,63771.67,421189063.01,6534.81,direct,,BTC/USD
1530835200,6633.44,6458.14,6534.81,47259.68,310759733.14,6602.02,direct,,BTC/USD
1530921600,6814.42,6518.23,6602.03,41785.1,277167900.06,6758.08,direct,,BTC/USD
1531008000,6782.85,6684.15,6758.08,39671.12,268455446.1,6707.38,direct,,BTC/USD
1531094400,6803.1,6625.58,6707.46,48761.43,328316145.78,6668.84,direct,,BTC/USD
1531180800,6683.61,6277.23,6668.84,72513.31,470432142.71,6306.85,direct,,BTC/USD
1531267200,6405.59,6293.68,6306.87,51054.67,327667754.35,6394.36,direct,,BTC/USD
1531353600,6394.93,6084.0,6394.36,65555.38,409078182.65,6253.6,direct,,BTC/USD
1531440000,6349.21,6131.54,6253.66,50964.41,319802271.97,6229.83,direct,,BTC/USD
1531526400,6332.46,6190.18,6229.61,27713.18,174416786.37,6268.75,direct,,BTC/USD
1531612800,6401.5,6245.75,6268.32,34225.9,218543291.78,6364.26,direct,,BTC/USD
1531699200,6761.84,6349.83,6364.26,74798.53,494264915.91,6740.55,direct,,BTC/USD
1531785600,7476.24,6677.56,6740.54,112707.21,799401451.35,7326.7,direct,,BTC/USD
1531872000,7590.65,7253.71,7326.76,105818.71,788460811.94,7383.39,direct,,BTC/USD
1531958400,7563.7,7289.9,7383.39,70179.39,522544440.45,7477.5,direct,,BTC/USD
1532044800,7676.55,7279.34,7477.1,80874.93,603034414.79,7333.93,direct,,BTC/USD
1532131200,7453.07,7220.37,7333.93,40295.77,297440355.21,7405.4,direct,,BTC/USD
1532217600,7569.28,7345.25,7405.4,47479.76,355565264.85,7398.64,direct,,BTC/USD
1532304000,7798.59,7376.66,7398.64,96722.04,745533303.01,7718.0,direct,,BTC/USD
1532390400,8485.71,7692.16,7718.0,143800.43,1166560702.13,8395.82,direct,,BTC/USD
1532476800,8481.11,8061.07,8395.81,89988.19,736530740.43,8170.23,direct,,BTC/USD
1532563200,8302.24,7862.67,8170.37,78993.93,643953970.45,7937.25,direct,,BTC/USD
1532649600,8278.01,7806.25,7937.1,80336.48,646256012.09,8182.89,direct,,BTC/USD
1532736000,8238.04,8070.04,8182.88,36136.12,295872316.42,8230.87,direct,,BTC/USD
1532822400,8291.55,8123.53,8230.82,34073.43,280233415.98,8216.78,direct,,BTC/USD
1532908800,8273.61,7867.44,8216.7,83918.76,681120739.99,8176.06,direct,,BTC/USD
1532995200,8176.27,7663.7,8176.08,97152.13,765186307.24,7735.3,direct,,BTC/USD
1533081600,7760.74,7449.31,7736.25,78466.58,595404848.88,7610.9,direct,,BTC/USD
1533168000,7713.32,7470.86,7610.9,55711.79,424093581.76,7542.34,direct,,BTC/USD
1533254400,7542.49,7296.76,7542.34,79126.57,586982505.83,7417.6,direct,,BTC/USD
1533340800,7490.89,6940.15,7417.6,74300.44,534002935.97,7017.89,direct,,BTC/USD
1533427200,7092.53,6898.31,7017.89,52556.01,368914046.39,7042.39,direct,,BTC/USD
1533513600,7160.4,6854.79,7042.57,58545.04,410408444.75,6945.78,direct,,BTC/USD
1533600000,7150.86,6685.02,6945.77,82683.83,575690006.27,6723.21,direct,,BTC/USD
1533686400,6723.99,6133.03,6723.29,130417.52,838853615.89,6285.02,direct,,BTC/USD
1533772800,6631.23,6195.02,6285.06,89588.13,575748446.38,6543.24,direct,,BTC/USD
1533859200,6582.14,6025.91,6543.25,100856.92,639457019.98,6153.41,direct,,BTC/USD
1533945600,6488.55,6014.26,6152.95,87651.14,545722619.11,6242.54,direct,,BTC/USD
1534032000,6483.39,6176.89,6242.53,57916.23,366460108.69,6322.92,direct,,BTC/USD
1534118400,6545.02,6157.03,6322.41,71073.56,452431672.68,6263.2,direct,,BTC/USD
1534204800,6266.5,5891.87,6263.2,125196.64,759847789.73,6199.6,direct,,BTC/USD
1534291200,6620.07,6193.63,6199.63,132926.33,852103141.83,6274.22,direct,,BTC/USD
1534377600,6478.07,6217.33,6274.22,71357.92,454679037.36,6323.81,direct,,BTC/USD
1534464000,6594.72,6300.45,6323.81,73383.05,477089455.56,6591.16,direct,,BTC/USD
1534550400,6622.16,6322.44,6591.18,52093.8,336744293.81,6405.71,direct,,BTC/USD
1534636800,6560.88,6330.56,6405.74,39452.94,253984821.8,6502.18,direct,,BTC/USD
1534723200,6537.54,6248.39,6502.24,61983.28,397981291.82,6269.9,direct,,BTC/USD
1534809600,6506.69,6259.81,6270.09,61753.86,396746063.37,6491.11,direct,,BTC/USD
1534896000,6890.79,6264.34,6491.09,116096.61,764005011.18,6366.13,direct,,BTC/USD
1534982400,6575.28,6356.96,6366.14,52740.3,340811486.77,6538.95,direct,,BTC/USD
1535068800,6736.83,6481.76,6539.13,58037.12,382456858.97,6708.96,direct,,BTC/USD
1535155200,6808.89,6684.19,6708.94,38189.09,258296664.16,6749.56,direct,,BTC/USD
1535241600,6793.17,6588.48,6749.71,39682.91,265820591.17,6720.6,direct,,BTC/USD
1535328000,6944.21,6674.84,6720.6,59984.28,405769271.5,6915.73,direct,,BTC/USD
1535414400,7136.71,6877.2,6915.92,69448.01,487789642.0,7091.38,direct,,BTC/USD
1535500800,7137.47,6944.76,7091.38,50361.95,356139022.3,7052.0,direct,,BTC/USD
1535587200,7072.64,6818.69,7051.61,61266.88,425475685.56,6998.76,direct,,BTC/USD
1535673600,7096.73,6903.08,6998.76,49774.38,349131152.81,7026.96,direct,,BTC/USD
1535760000,7272.03,7025.58,7026.96,41873.76,300301833.39,7203.46,direct,,BTC/USD
1535846400,7384.38,7144.71,7203.46,61424.38,447453370.83,7301.26,direct,,BTC/USD
1535932800,7350.58,7204.89,7301.25,42451.23,309327793.27,7270.05,direct,,BTC/USD
1536019200,7417.65,7246.76,7270.05,46681.9,343762001.58,7369.86,direct,,BTC/USD
1536105600,7401.43,6694.06,7369.89,113370.51,797851163.66,6705.03,direct,,BTC/USD
1536192000,6727.19,6295.11,6705.06,127586.04,823309044.3,6515.42,direct,,BTC/USD
1536278400,6549.39,6345.48,6515.42,53170.79,344487244.01,6411.78,direct,,BTC/USD
1536364800,6480.57,6134.76,6413.12,49719.12,317380272.09,6200.16,direct,,BTC/USD
